datestamp,name,date_value,code
1977-01-01,英国,263.07,GBR
1977-01-01,意大利,258.19,ITA
1977-01-01,加拿大,212.33,CAN
1977-01-01,巴西,176.34,BRA
1977-01-01,中国,174.94,CHN
1977-01-01,西班牙,132.35,ESP
1977-01-01,荷兰,127.2,NLD
1977-01-01,印度,121.49,IND
1977-01-01,澳大利亚,110.35,AUS
1977-01-01,瑞典,94.33,SWE
1977-01-01,比利时,82.84,BEL
1977-01-01,墨西哥,81.91,MEX
1977-01-01,伊朗,80.6,IRN
1977-01-01,沙特阿拉伯,74.19,SAU
1977-01-01,瑞士,73.14,CHE
1977-01-01,土耳其,58.68,TUR
1977-01-01,阿根廷,56.78,ARG
1977-01-01,韩国,38.45,KOR
1978-01-01,美国,2351.6,USA
1978-01-01,日本,1035.61,JPN
1978-01-01,德国,743.18,DEU
1978-01-01,法国,501.72,FRA
1978-01-01,英国,335.88,GBR
1978-01-01,意大利,315.78,ITA
1978-01-01,加拿大,219.37,CAN
1978-01-01,巴西,200.28,BRA
1978-01-01,西班牙,160.48,ESP
1978-01-01,荷兰,156.09,NLD
1978-01-01,中国,149.54,CHN
1978-01-01,印度,137.3,IND
1978-01-01,澳大利亚,118.49,AUS
1978-01-01,瑞典,104.29,SWE
1978-01-01,墨西哥,102.65,MEX
1978-01-01,瑞士,102.28,CHE
1978-01-01,比利时,101.25,BEL
1978-01-01,沙特阿拉伯,80.27,SAU
1978-01-01,伊朗,77.99,IRN
1978-01-01,土耳其,65.91,TUR
1978-01-01,阿根廷,58.08,ARG
1978-01-01,韩国,51.97,KOR
1979-01-01,美国,2627.33,USA
1979-01-01,日本,1077.91,JPN
1979-01-01,德国,884.57,DEU
1979-01-01,法国,608.22,FRA
1979-01-01,英国,438.99,GBR
1979-01-01,意大利,394.58,ITA
1979-01-01,加拿大,243.89,CAN
1979-01-01,巴西,221.34,BRA
1979-01-01,西班牙,214.45,ESP
1979-01-01,荷兰,179.93,NLD
1979-01-01,中国,178.28,CHN
1979-01-01,印度,153.0,IND
1979-01-01,澳大利亚,134.9,AUS
1979-01-01,墨西哥,134.53,MEX
1979-01-01,瑞典,123.21,SWE
1979-01-01,比利时,116.32,BEL
1979-01-01,瑞士,114.97,CHE
1979-01-01,沙特阿拉伯,111.86,SAU
1979-01-01,伊朗,90.39,IRN
1979-01-01,土耳其,89.62,TUR
1979-01-01,阿根廷,69.25,ARG
1979-01-01,韩国,66.95,KOR
1980-01-01,美国,2857.31,USA
1980-01-01,日本,1129.38,JPN
1980-01-01,德国,953.77,DEU
1980-01-01,法国,694.53,FRA
1980-01-01,英国,564.95,GBR
1980-01-01,意大利,478.36,ITA
1980-01-01,加拿大,274.78,CAN
1980-01-01,巴西,237.39,BRA
1980-01-01,西班牙,232.6,ESP
1980-01-01,墨西哥,205.58,MEX
1980-01-01,荷兰,195.44,NLD
1980-01-01,中国,191.15,CHN
1980-01-01,印度,186.33,IND
1980-01-01,沙特阿拉伯,164.54,SAU
1980-01-01,澳大利亚,149.99,AUS
1980-01-01,瑞典,141.89,SWE
1980-01-01,比利时,126.83,BEL
1980-01-01,瑞士,122.56,CHE
1980-01-01,伊朗,94.36,IRN
1980-01-01,阿根廷,76.96,ARG
1980-01-01,土耳其,68.82,TUR
1980-01-01,韩国,65.4,KOR
1981-01-01,美国,3207.04,USA
1981-01-01,日本,1245.22,JPN
1981-01-01,德国,803.4,DEU
1981-01-01,法国,609.18,FRA
1981-01-01,英国,540.77,GBR
1981-01-01,意大利,431.7,ITA
1981-01-01,加拿大,307.25,CAN
1981-01-01,墨西哥,263.8,MEX
1981-01-01,巴西,258.02,BRA
1981-01-01,西班牙,202.66,ESP
1981-01-01,中国,195.87,CHN
1981-01-01,印度,193.49,IND
1981-01-01,沙特阿拉伯,184.29,SAU
1981-01-01,澳大利亚,176.9,AUS
1981-01-01,荷兰,164.38,NLD
1981-01-01,瑞典,129.5,SWE
1981-01-01,瑞士,112.24,CHE
1981-01-01,比利时,104.73,BEL
1981-01-01,伊朗,100.5,IRN
1981-01-01,阿根廷,78.68,ARG
1981-01-01,韩国,72.93,KOR
1981-01-01,土耳其,71.18,TUR
1982-01-01,美国,3343.79,USA
1982-01-01,日本,1158.73,JPN
1982-01-01,德国,779.42,DEU
1982-01-01,法国,578.15,FRA
1982-01-01,英国,515.05,GBR
1982-01-01,意大利,428.26,ITA
1982-01-01,加拿大,314.65,CAN
1982-01-01,巴西,271.31,BRA
1982-01-01,中国,205.09,CHN
1982-01-01,印度,200.72,IND
1982-01-01,西班牙,195.86,ESP
1982-01-01,澳大利亚,194.04,AUS
1982-01-01,墨西哥,184.6,MEX
1982-01-01,荷兰,158.71,NLD
1982-01-01,沙特阿拉伯,153.24,SAU
1982-01-01,伊朗,125.95,IRN
1982-01-01,瑞士,115.04,CHE
1982-01-01,瑞典,114.22,SWE
1982-01-01,比利时,92.1,BEL
1982-01-01,阿根廷,84.31,ARG
1982-01-01,韩国,78.36,KOR
1982-01-01,土耳其,64.37,TUR
1983-01-01,美国,3634.04,USA
1983-01-01,日本,1270.86,JPN
1983-01-01,德国,773.51,DEU
1983-01-01,法国,553.36,FRA
1983-01-01,英国,489.62,GBR
1983-01-01,意大利,444.06,ITA
1983-01-01,加拿大,341.87,CAN
1983-01-01,中国,230.69,CHN
1983-01-01,印度,218.26,IND
1983-01-01,巴西,189.66,BRA
1983-01-01,澳大利亚,177.27,AUS
1983-01-01,西班牙,170.83,ESP
1983-01-01,伊朗,156.37,IRN
1983-01-01,墨西哥,156.17,MEX
1983-01-01,荷兰,153.67,NLD
1983-01-01,沙特阿拉伯,129.17,SAU
1983-01-01,瑞士,114.63,CHE
1983-01-01,瑞典,104.86,SWE
1983-01-01,阿根廷,103.98,ARG
1983-01-01,韩国,87.76,KOR
1983-01-01,比利时,87.18,BEL
1983-01-01,土耳其,61.8,TUR
1984-01-01,美国,4037.61,USA
1984-01-01,日本,1345.82,JPN
1984-01-01,德国,727.77,DEU
1984-01-01,法国,525.03,FRA
1984-01-01,英国,461.49,GBR
1984-01-01,意大利,438.9,ITA
1984-01-01,加拿大,356.72,CAN
1984-01-01,中国,259.95,CHN
1984-01-01,印度,212.16,IND
1984-01-01,澳大利亚,193.53,AUS
1984-01-01,巴西,188.34,BRA
1984-01-01,墨西哥,184.23,MEX
1984-01-01,西班牙,171.98,ESP
1984-01-01,伊朗,162.28,IRN
1984-01-01,荷兰,144.12,NLD
1984-01-01,沙特阿拉伯,119.62,SAU
1984-01-01,瑞士,109.46,CHE
1984-01-01,瑞典,109.04,SWE
1984-01-01,韩国,97.51,KOR
1984-01-01,比利时,83.35,BEL
1984-01-01,阿根廷,79.09,ARG
1984-01-01,土耳其,59.94,TUR
1985-01-01,美国,4338.98,USA
1985-01-01,日本,1427.02,JPN
1985-01-01,德国,735.22,DEU
1985-01-01,法国,547.22,FRA
1985-01-01,英国,489.29,GBR
1985-01-01,意大利,453.26,ITA
1985-01-01,加拿大,366.19,CAN
1985-01-01,中国,309.49,CHN
1985-01-01,印度,232.51,IND
1985-01-01,巴西,210.88,BRA
1985-01-01,墨西哥,195.24,MEX
1985-01-01,西班牙,180.66,ESP
1985-01-01,澳大利亚,180.64,AUS
1985-01-01,伊朗,180.18,IRN
1985-01-01,荷兰,144.06,NLD
1985-01-01,瑞典,113.96,SWE
1985-01-01,瑞士,110.98,CHE
1985-01-01,沙特阿拉伯,103.9,SAU
1985-01-01,韩国,101.3,KOR
1985-01-01,阿根廷,88.15,ARG
1985-01-01,比利时,86.27,BEL
1985-01-01,土耳其,67.23,TUR
1986-01-01,美国,4579.63,USA
1986-01-01,日本,2120.08,JPN
1986-01-01,德国,1050.09,DEU
1986-01-01,法国,764.95,FRA
1986-01-01,意大利,641.86,ITA
1986-01-01,英国,601.45,GBR
1986-01-01,加拿大,379.01,CAN
1986-01-01,中国,300.76,CHN
1986-01-01,巴西,256.48,BRA
1986-01-01,西班牙,251.14,ESP
1986-01-01,印度,248.99,IND
1986-01-01,伊朗,209.09,IRN
1986-01-01,荷兰,201.16,NLD
1986-01-01,澳大利亚,182.48,AUS
1986-01-01,瑞士,159.09,CHE
1986-01-01,瑞典,150.28,SWE
1986-01-01,墨西哥,134.56,MEX
1986-01-01,比利时,120.02,BEL
1986-01-01,韩国,116.84,KOR
1986-01-01,阿根廷,105.87,ARG
1986-01-01,沙特阿拉伯,86.96,SAU
1986-01-01,土耳其,75.67,TUR
1987-01-01,美国,4855.22,USA
1987-01-01,日本,2580.75,JPN
1987-01-01,德国,1302.93,DEU
1987-01-01,法国,926.32,FRA
1987-01-01,意大利,807.57,ITA
1987-01-01,英国,745.16,GBR
1987-01-01,加拿大,433.13,CAN
1987-01-01,西班牙,318.52,ESP
1987-01-01,巴西,283.06,BRA
1987-01-01,印度,279.03,IND
1987-01-01,中国,272.97,CHN
1987-01-01,荷兰,245.41,NLD
1987-01-01,瑞士,199.24,CHE
1987-01-01,澳大利亚,189.5,AUS
1987-01-01,瑞典,182.75,SWE
1987-01-01,比利时,149.39,BEL
1987-01-01,韩国,147.95,KOR
1987-01-01,墨西哥,147.54,MEX
1987-01-01,伊朗,134.01,IRN
1987-01-01,阿根廷,108.81,ARG
1987-01-01,土耳其,87.19,TUR
1987-01-01,沙特阿拉伯,85.7,SAU
1988-01-01,美国,5236.44,USA
1988-01-01,日本,3125.72,JPN
1988-01-01,德国,1406.37,DEU
1988-01-01,法国,1010.83,FRA
1988-01-01,英国,910.12,GBR
1988-01-01,意大利,893.66,ITA
1988-01-01,俄罗斯,554.83,RUS
1988-01-01,加拿大,509.38,CAN
1988-01-01,西班牙,375.89,ESP
